,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Web Link
0,ROBLOX,GAME,4.5,4447388,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,
1,Subway Surfers,GAME,4.5,27722264,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
2,Candy Crush Saga,GAME,4.4,22426677,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,https://play.google.com/store/apps/details?id=com.king.candycrushsaga
3,Solitaire,GAME,4.7,254258,23M,"10,000,000+",Free,0,Everyone,Card,"August 1, 2018",2.137.0,4.1 and up,https://play.google.com/store/apps/details?id=com.oig.solitaire
4,Bubble Shooter,GAME,4.5,148897,46M,"10,000,000+",Free,0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,https://play.google.com/store/apps/details?id=com.gdl.Main
5,Hello Kitty Nail Salon,GAME,4.2,369203,24M,"50,000,000+",Free,0,Everyone,Casual;Pretend Play,"April 17, 2018",1.5,4.1 and up,https://play.google.com/store/apps/details?id=com.budgestudios.HelloKittyNailSalon
6,slither.io,GAME,4.4,5234162,Varies with device,"100,000,000+",Free,0,Everyone,Action,"November 14, 2017",Varies with device,2.3 and up,https://play.google.com/store/apps/details?id=air.com.hypah.io.slither
7,Clash Royale,GAME,4.6,23133508,97M,"100,000,000+",Free,0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,https://play.google.com/store/apps/details?id=com.supercell.clashroyale
8,Temple Run 2,GAME,4.3,8118609,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,https://play.google.com/store/apps/details?id=com.imangi.templerun2
9,Pou,GAME,4.3,10485308,24M,"500,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up,https://play.google.com/store/apps/details?id=me.pou.app
10,Helix Jump,GAME,4.2,1497361,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,https://play.google.com/store/apps/details?id=com.shah.helixjump
11,Block Puzzle,GAME,4.6,59800,7.8M,"5,000,000+",Free,0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,https://play.google.com/store/apps/details?id=com.Kanaro.Dodoblockpuzzle
12,Angry Birds Rio,GAME,4.4,2610526,46M,"100,000,000+",Free,0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,
13,Plants vs. Zombies FREE,GAME,4.4,4066989,69M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 6, 2018",2.2.00,4.1 and up,https://play.google.com/store/apps/details?id=com.ea.game.pvzfree_row
14,Sonic Dash,GAME,4.5,3778921,75M,"100,000,000+",Free,0,Everyone,Arcade,"July 26, 2018",3.8.5.Go,4.1 and up,
15,Candy Crush Soda Saga,GAME,4.4,6198563,67M,"100,000,000+",Free,0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,https://play.google.com/store/apps/details?id=com.king.candycrushsodasaga
16,Zombie Hunter King,GAME,4.3,10306,50M,"1,000,000+",Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up,https://play.google.com/store/apps/details?id=com.mobirix.zombieking
17,Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,https://play.google.com/store/apps/details?id=com.supercell.clashofclans
18,Kick the Buddy,GAME,4.3,1000417,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 5, 2018",Varies with device,4.4 and up,https://play.google.com/store/apps/details?id=com.playgendary.kickthebuddy
19,Block Puzzle Classic Legend !,GAME,4.2,17039,4.9M,"5,000,000+",Free,0,Everyone,Puzzle,"April 13, 2018",2.9,2.3.3 and up,https://play.google.com/store/apps/details?id=com.globalclassicgame.brickpuzzlelegend
