App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
1LINE – One Line with One Touch,"gets 1* there's ad every single level restart, frustrating, potential",Negative,-0.157142857,0.704761905
1LINE – One Line with One Touch,"The game interesting challenging. However, often buffers gets stuck.",Positive,0.2,0.633333333
1LINE – One Line with One Touch,nan,nan,nan,nan
1LINE – One Line with One Touch,"Wow ,i play 15 puzzle 1st round I remember puzzle solve childhood.. Lovely",Positive,0.133333333,0.716666667
1LINE – One Line with One Touch,Love game deleting I've waiting 3 months levels play. I several updates none updates added new levels,Positive,0.059090909,0.363636364
1LINE – One Line with One Touch,Way many aggressive ads,Positive,0.5,0.5
1LINE – One Line with One Touch,amaze i'm addicted,Negative,-0.4,0.6
1LINE – One Line with One Touch,I like game,Negative,-0.4,0.4
1LINE – One Line with One Touch,nan,nan,nan,nan
1LINE – One Line with One Touch,I play game,Negative,-0.4,0.4
1LINE – One Line with One Touch,It's toooo gud game,Negative,-0.4,0.4
1LINE – One Line with One Touch,"Too many unskippable ads. Other than, great game.",Positive,0.19375,0.50625
1LINE – One Line with One Touch,Mind uses game,Negative,-0.4,0.4
1LINE – One Line with One Touch,Too much ad,Positive,0.2,0.2
1LINE – One Line with One Touch,It great experience knowledge help game,Positive,0.2,0.575
1LINE – One Line with One Touch,Nice game,Positive,0.1,0.7
1LINE – One Line with One Touch,I really good game,Positive,0.15,0.5
1LINE – One Line with One Touch,I love game nice,Positive,0.233333333,0.666666667
1LINE – One Line with One Touch,It granite,Neutral,0,0
1LINE – One Line with One Touch,It confusing,Negative,-0.3,0.4
1LINE – One Line with One Touch,Its really fun,Positive,0.3,0.2
1LINE – One Line with One Touch,Is game beautiful,Positive,0.225,0.7
1LINE – One Line with One Touch,Guide,Neutral,0,0
1LINE – One Line with One Touch,SUPER,Positive,0.333333333,0.666666667
1LINE – One Line with One Touch,yoko,Neutral,0,0
1LINE – One Line with One Touch,It's great,Positive,0.8,0.75
1LINE – One Line with One Touch,Very nice,Positive,0.78,1
1LINE – One Line with One Touch,Good,Positive,0.7,0.6
1LINE – One Line with One Touch,Its cool,Positive,0.35,0.65
1LINE – One Line with One Touch,Cool,Positive,0.35,0.65
1LINE – One Line with One Touch,Fantastic,Positive,0.4,0.9
1LINE – One Line with One Touch,Superb,Positive,1,1
1LINE – One Line with One Touch,Excellent,Positive,1,1
1LINE – One Line with One Touch,Nice,Positive,0.6,1
1LINE – One Line with One Touch,Love,Positive,0.5,0.6
1LINE – One Line with One Touch,Fun,Positive,0.3,0.2
1LINE – One Line with One Touch,Enjoy,Positive,0.4,0.5
1LINE – One Line with One Touch,Love ❤❤❤❤❤❤❤❤❤❤❤❤,Positive,0.5,0.6
1LINE – One Line with One Touch,"Good graphics ok ,WAY many ads ridiculous can't skip them. Tbh waste time,would NOT recommend.",Positive,0.233333333,0.52
1LINE – One Line with One Touch,Terrible amount ads covering content making unpleasant play. Avoid,Negative,-0.825,0.975
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Excellent,Positive,1,1
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,"Better brainless runners, actually makes think",Positive,0.25,0.3
4 in a Row,nan,nan,nan,nan
4 in a Row,It cool game I liked much helps developing concentration,Positive,0.1875,0.5125
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Excellent really tough higher CPU levels,Positive,0.287037037,0.777777778
4 in a Row,nan,nan,nan,nan
4 in a Row,It's great game keep u busy hours..... Obviously.. u know play...,Positive,0.125,0.4875
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Simple game pass time away. My grandson like it.,Negative,-0.2,0.378571429
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Great way waist time.,Positive,0.8,0.75
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Great,Positive,0.8,0.75
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Connect four V good,Positive,0.7,0.6
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Boring All put chip hole let's win,Negative,-0.1,0.7
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Super fun game Really good brain game,Positive,0.106666667,0.453333333
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,It's boring This game sooooo boring.. -_-,Negative,-0.8,0.8
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Could made better improving manoeuvre,Positive,0.5,0.5
4 in a Row,nan,nan,nan,nan
4 in a Row,Addictive! I've playing almost every day years. A GREAT version :),Positive,0.433333333,0.883333333
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,4 row Who knew 4 row could fun,Positive,0.3,0.2
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Keeps busy,Positive,0.1,0.3
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,Love ♥this game rocks ♥,Positive,0.366666667,0.666666667
4 in a Row,nan,nan,nan,nan
4 in a Row,Nice simple game,Positive,0.066666667,0.585714286
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,nan,nan,nan,nan
4 in a Row,love,Positive,0.5,0.6
4 in a Row,Ive played level 10 three times them. Then I programmed AI C I let go second level 10 fifteen times all. I could make suggestion improving evaluation function like. It uses concept zugzwang accurate.,Positive,0.2,0.316666667
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,"The better pool game Google Play slightly buggy. When opponent's connection stable, suddenly says I run time even though I made shot. It also seem support push out. The timer needs b obvious runs out.",Negative,-0.013333333,0.413333333
8 Ball Pool,"Hate get cue pieces maxed cue. Really wish guys would change that. Keep getting 8 n 12 hr boxes, Cairo Delhi, n end getting 2 3 pieces I use. Complete waste time. Change n review goes back 5 stars.",Negative,-0.14,0.3
8 Ball Pool,"Games alright, bit sketchy either opponent bad connection. The pool cue power bar needs look at. It's annoying I'm trying get right amount power, suddenly starts moving angle finger moved bar.",Negative,-0.303571429,0.650595238
8 Ball Pool,Hi really like game. I tried ti purchase halloween pack twice amount got deducted bank account transaction pool showed declined.. Could u please let knw whether get pack money back?,Negative,-0.066666667,0.2
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,Worst servers Iran... From first time I tried game I acoutered message connection slow ( I tried best networks Iran ) Recently even connect game time! Please consider better servers cause many Iranians love game.,Positive,0.013636364,0.462121212
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,I previous profile however updates I lost 1.5 million coins rank! How sad frustrating! I start again! If 8 ball fix I'll give five stars.,Negative,-0.572916667,0.741666667
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,Love game I'm issues requesting gifts club advise I restarted phone closed opened even checked updates. Any help would great worked fine today,Positive,0.243333333,0.47
8 Ball Pool,So wanted enjoy game hacked death many people become boring. You pot ball back u started turn. Super fast fiber bb connection.it's badly maintained app.,Negative,-0.083333333,0.541666667
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
8 Ball Pool,nan,nan,nan,nan
